dia_juliano,mes,dia,q95,q90,q85,q80,q75,q70,q65,q60,q55,q50
58,2,27,138.1,167.82,201.69,236.02,261.13,286.36,320.67,346.56,379.56,416.63
59,2,28,138.27,170.59,202.18,233.95,261.13,288.98,323.43,348.41,382.62,418.66
60,3,1,139.5,170.59,203.1,233.95,261.13,292.12,323.88,349.83,382.89,420.04
61,3,2,140.75,173.37,203.67,233.95,261.13,292.12,323.88,350.14,382.89,420.04
62,3,3,143.4,176.15,204.58,233.95,261.13,292.12,323.88,352.01,384.63,422.79
63,3,4,143.4,176.15,203.67,233.95,261.13,288.98,323.88,352.01,384.55,420.43
64,3,5,143.4,176.3,203.1,233.95,258.08,285.86,323.88,350.14,384.44,420.04
65,3,6,143.4,178.95,201.69,230.97,255.81,283.06,320.67,349.83,382.89,420.04
66,3,7,144.86,178.95,201.69,228.0,255.03,282.74,317.47,346.88,379.56,418.66
67,3,8,145.41,176.15,199.75,228.0,251.99,279.62,314.27,346.56,377.69,415.29
68,3,9,145.79,176.15,198.82,228.0,251.99,278.72,314.27,343.3,375.46,409.83
69,3,10,146.07,173.37,198.82,225.04,251.99,276.52,311.11,340.04,372.9,406.44
70,3,11,146.07,170.59,195.95,222.09,248.96,273.43,307.9,339.18,372.9,404.21
71,3,12,146.07,170.59,195.95,222.09,245.94,272.37,304.73,336.77,366.27,400.14
72,3,13,146.07,170.59,193.09,218.7,245.94,270.34,301.57,333.56,362.52,396.31
73,3,14,146.07,170.59,193.09,216.22,242.93,267.26,295.39,330.32,359.67,389.59
74,3,15,144.86,170.59,193.09,213.29,239.93,264.19,292.12,327.1,353.1,386.24
75,3,16,143.4,167.82,190.24,210.38,237.66,261.13,285.86,323.88,349.83,382.89
76,3,17,143.4,167.82,187.41,208.05,234.01,258.08,282.7,317.47,346.56,378.35
77,3,18,143.4,165.07,187.41,206.61,233.95,255.03,279.62,311.33,343.3,372.9
78,3,19,141.16,165.07,184.58,204.58,229.74,251.99,276.52,305.03,339.69,371.34
79,3,20,140.75,165.07,183.89,203.1,228.0,248.82,272.08,302.35,333.72,362.97
80,3,21,138.1,162.32,181.76,201.69,225.04,244.18,267.26,298.41,330.33,359.67
81,3,22,138.1,162.32,181.76,199.75,222.09,239.93,264.19,295.26,327.1,353.1
82,3,23,138.1,159.58,178.95,198.82,219.15,239.93,262.61,288.98,325.52,349.83
83,3,24,135.47,159.53,178.95,195.95,216.22,236.93,258.15,285.86,321.96,346.56
84,3,25,132.84,156.86,178.95,195.95,216.22,233.95,255.17,282.74,317.47,343.53
85,3,26,132.84,154.15,176.15,193.09,213.29,230.97,251.99,279.21,311.08,340.04
